skill_keyword,normalized_skill,kg_display_skill,技能类型
智能座舱测试,AIops,系统与运维,新兴技能
智能测试,AIops,系统与运维,新兴技能
智能测试分析,AIops,系统与运维,新兴技能
智能测试工具,AIops,系统与运维,新兴技能
智能测试生成,AIops,系统与运维,新兴技能
智能漏洞挖掘,AIops,系统与运维,新兴技能
智能监控,AIops,系统与运维,新兴技能
智能眼镜测试,AIops,系统与运维,新兴技能
智能硬件测试,AIops,系统与运维,新兴技能
智能穿戴测试,AIops,系统与运维,新兴技能
智能系统评估,AIops,系统与运维,新兴技能
智能终端测试,AIops,系统与运维,新兴技能
智能评测,AIops,系统与运维,新兴技能
智能诊断,AIops,系统与运维,新兴技能
智能诊断工具,AIops,系统与运维,新兴技能
智能诊断平台,AIops,系统与运维,新兴技能
智能质检,AIops,系统与运维,新兴技能
智能运维,AIops,系统与运维,新兴技能
智能运维工程,AIops,系统与运维,新兴技能
智能运维算法,AIops,系统与运维,新兴技能
CI/CD,CI/CD,软件工程,传统技能
DevOps,DevOps,系统与运维,传统技能
Docker,Docker,系统与运维,传统技能
容器存储,Docker,系统与运维,传统技能
容器安全,Docker,系统与运维,传统技能
容器技术,Docker,系统与运维,传统技能
容器环境,Docker,系统与运维,传统技能
容器编排,Docker,系统与运维,传统技能
容器网络,Docker,系统与运维,传统技能
容器镜像,Docker,系统与运维,传统技能
GPU,GPU,系统与运维,传统技能
Kubernetes,Kubernetes,云计算,传统技能
Linux,Linux,系统与运维,传统技能
Linux内核,Linux,系统与运维,传统技能
OTA升级,OTA升级,系统与运维,传统技能
升级包设计,OTA升级,系统与运维,传统技能
升级回滚验证,OTA升级,系统与运维,传统技能
RISC-V,RISC-V,系统与运维,传统技能
SRE,SRE,系统与运维,传统技能
HTTP,HTTP,系统与运维,传统技能
变更管理,SRE,系统与运维,传统技能
可观测性,SRE,系统与运维,传统技能
告警系统,SRE,系统与运维,传统技能
备份恢复,SRE,系统与运维,传统技能
容灾架构,SRE,系统与运维,传统技能
崩溃分析,SRE,系统与运维,传统技能
故障恢复,SRE,系统与运维,传统技能
故障注入,SRE,系统与运维,传统技能
断点续跑,SRE,系统与运维,传统技能
日志,SRE,系统与运维,传统技能
日志体系,SRE,系统与运维,传统技能
日志分析,SRE,系统与运维,传统技能
日志处理,SRE,系统与运维,传统技能
混流,SRE,系统与运维,传统技能
混部,SRE,系统与运维,传统技能
灾备,SRE,系统与运维,传统技能
网关,SRE,系统与运维,传统技能
调用图,SRE,系统与运维,传统技能
运维,SRE,系统与运维,传统技能
TCP/IP,TCP/IP,系统与运维,传统技能
Unix,Unix,系统与运维,传统技能
可靠性设计,可靠性设计,系统与运维,传统技能
可靠性设计验证,可靠性设计,系统与运维,传统技能
降额设计,可靠性设计,系统与运维,传统技能
国产化适配,国产化适配,系统与运维,传统技能
华为鲲鹏,国产化适配,系统与运维,传统技能
国产AI加速卡,国产化适配,系统与运维,传统技能
国产CPU,国产化适配,系统与运维,传统技能
国产化软件适配,国产化适配,系统与运维,传统技能
国产平台适配,国产化适配,系统与运维,传统技能
国产操作系统,国产化适配,系统与运维,传统技能
国产显卡部署,国产化适配,系统与运维,传统技能
国产服务器,国产化适配,系统与运维,传统技能
沐曦,国产化适配,系统与运维,传统技能
海光,国产化适配,系统与运维,传统技能
海光CPU,国产化适配,系统与运维,传统技能
海光DCU,国产化适配,系统与运维,传统技能
海思,国产化适配,系统与运维,传统技能
海思芯片方案,国产化适配,系统与运维,传统技能
瑞芯,国产化适配,系统与运维,传统技能
瑞芯微平台,国产化适配,系统与运维,传统技能
飞腾CPU,国产化适配,系统与运维,传统技能
鲲鹏CPU,国产化适配,系统与运维,传统技能
鲲鹏平台,国产化适配,系统与运维,传统技能
麒麟操作系统,国产化适配,系统与运维,传统技能
增量更新,增量更新,系统与运维,传统技能
多租户架构,多租户架构,系统与运维,传统技能
多租户,多租户架构,系统与运维,传统技能
多租户Quota,多租户架构,系统与运维,传统技能
多租户安全,多租户架构,系统与运维,传统技能
多租户调度,多租户架构,系统与运维,传统技能
多租户资源隔离,多租户架构,系统与运维,传统技能
多租户隔离,多租户架构,系统与运维,传统技能
租户隔离,多租户架构,系统与运维,传统技能
租约,多租户架构,系统与运维,传统技能
弱网优化,弱网优化,系统与运维,传统技能
弱网传输优化,弱网优化,系统与运维,传统技能
弱网容错,弱网优化,系统与运维,传统技能
弱网对抗,弱网优化,系统与运维,传统技能
弱网恢复,弱网优化,系统与运维,传统技能
弱网测试,弱网优化,系统与运维,传统技能
微服务安全,微服务安全,系统与运维,传统技能
微服务测试,微服务测试,系统与运维,传统技能
操作系统,操作系统,系统与运维,传统技能
时间同步,时间同步,系统与运维,传统技能
系统开发,系统开发,系统与运维,传统技能
BIOS,BIOS,系统与运维,传统技能
IO系统,系统开发,系统与运维,传统技能
RTOS,RTOS,系统与运维,传统技能
中台架构,系统开发,系统与运维,传统技能
协程,系统开发,系统与运维,传统技能
异步,系统开发,系统与运维,传统技能
异步化,系统开发,系统与运维,传统技能
执行器,系统开发,系统与运维,传统技能
扩展性,系统开发,系统与运维,传统技能
熔断,系统开发,系统与运维,传统技能
状态机,系统开发,系统与运维,传统技能
状态树,系统开发,系统与运维,传统技能
状态流,系统开发,系统与运维,传统技能
用户态,系统开发,系统与运维,传统技能
系统库,系统开发,系统与运维,传统技能
线程,系统开发,系统与运维,传统技能
线程池,系统开发,系统与运维,传统技能
线程锁,系统开发,系统与运维,传统技能
缓冲区,系统开发,系统与运维,传统技能
虚拟化,系统开发,系统与运维,传统技能
调度,系统开发,系统与运维,传统技能
调度器,系统开发,系统与运维,传统技能
跨域,系统开发,系统与运维,传统技能
运行时,系统开发,系统与运维,传统技能
进程,系统开发,系统与运维,传统技能
选主,系统开发,系统与运维,传统技能
零拷贝,系统开发,系统与运维,传统技能
网络协议,网络协议,系统与运维,传统技能
自动化技术,自动化技术,系统与运维,传统技能
自动化任务,自动化技术,系统与运维,传统技能
自动化修复,自动化技术,系统与运维,传统技能
自动化分析,自动化技术,系统与运维,传统技能
自动化协作系统,自动化技术,系统与运维,传统技能
自动化协同系统,自动化技术,系统与运维,传统技能
自动化实验,自动化技术,系统与运维,传统技能
自动化实验设计,自动化技术,系统与运维,传统技能
自动化实验追踪,自动化技术,系统与运维,传统技能
自动化客诉处理,自动化技术,系统与运维,传统技能
自动化对战,自动化技术,系统与运维,传统技能
自动化建设,自动化技术,系统与运维,传统技能
自动化投放,自动化技术,系统与运维,传统技能
自动化报表,自动化技术,系统与运维,传统技能
自动化指标,自动化技术,系统与运维,传统技能
自动化控制,自动化技术,系统与运维,传统技能
自动化数据洞察,自动化技术,系统与运维,传统技能
自动化方法,自动化技术,系统与运维,传统技能
自动化检测,自动化技术,系统与运维,传统技能
自动化检测设备,自动化技术,系统与运维,传统技能
自动化流程,自动化技术,系统与运维,传统技能
自动化演练,自动化技术,系统与运维,传统技能
自动化生产,自动化技术,系统与运维,传统技能
自动化研判,自动化技术,系统与运维,传统技能
自动化编程,自动化技术,系统与运维,传统技能
自动化脚本,自动化技术,系统与运维,传统技能
自动化营销,自动化技术,系统与运维,传统技能
自动化算法,自动化算法,系统与运维,传统技能
自动化决策,自动化算法,系统与运维,传统技能
自动化建模,自动化算法,系统与运维,传统技能
自动化算法迭代,自动化算法,系统与运维,传统技能
自动化规划,自动化算法,系统与运维,传统技能
自动化训练,自动化算法,系统与运维,传统技能
自动化运维,自动化运维,系统与运维,传统技能
自动化变更,自动化运维,系统与运维,传统技能
自动化响应,自动化运维,系统与运维,传统技能
自动化响应Agent,自动化运维,系统与运维,传统技能
自动化响应流水线,自动化运维,系统与运维,传统技能
自动化处置,自动化运维,系统与运维,传统技能
自动化排障,自动化运维,系统与运维,传统技能
自动化诊断,自动化运维,系统与运维,传统技能
自动化运维工具,自动化运维,系统与运维,传统技能
自动化运维平台,自动化运维,系统与运维,传统技能
自动化问题诊断,自动化运维,系统与运维,传统技能
IT基础设施,IT基础设施,云计算,传统技能
信息技术,IT基础设施,云计算,传统技能
数据中心AI软件,IT基础设施,云计算,传统技能
数据中心CPU,IT基础设施,云计算,传统技能
数据中心ICT运维,IT基础设施,云计算,传统技能
数据中心IT服务运维,IT基础设施,云计算,传统技能
数据中心IT运维,IT基础设施,云计算,传统技能
数据中心SOC,IT基础设施,云计算,传统技能
数据中心交换机,IT基础设施,云计算,传统技能
数据中心基础设施,IT基础设施,云计算,传统技能
数据中心基础设施管理,IT基础设施,云计算,传统技能
数据中心基础设施系统,IT基础设施,云计算,传统技能
数据中心基础设施运维,IT基础设施,云计算,传统技能
数据中心存储,IT基础设施,云计算,传统技能
数据中心容量规划,IT基础设施,云计算,传统技能
数据中心服务器,IT基础设施,云计算,传统技能
数据中心服务器固件,IT基础设施,云计算,传统技能
数据中心机柜供电,IT基础设施,云计算,传统技能
数据中心监控系统,IT基础设施,云计算,传统技能
数据中心网络,IT基础设施,云计算,传统技能
数据中心网络架构,IT基础设施,云计算,传统技能
数据中心能效优化,IT基础设施,云计算,传统技能
数据中心计算,IT基础设施,云计算,传统技能
数据中心设备,IT基础设施,云计算,传统技能
数据中心资源管理,IT基础设施,云计算,传统技能
数据中心运维,IT基础设施,云计算,传统技能
数据中心运维平台,IT基础设施,云计算,传统技能
数据中心运营,IT基础设施,云计算,传统技能
云计算,云计算,云计算,传统技能
云原生,云计算,云计算,传统技能
云存储,云计算,云计算,传统技能
云安全,云计算,云计算,传统技能
云成本优化,云计算,云计算,传统技能
云手机,云计算,云计算,传统技能
云桌面,云计算,云计算,传统技能
云测试,云计算,云计算,传统技能
云游戏,云计算,云计算,传统技能
云迁移,云计算,云计算,传统技能
多云管理,云计算,云计算,传统技能
混合云,云计算,云计算,传统技能
混合云安全,云计算,云计算,传统技能
混合云架构,云计算,云计算,传统技能
混合云硬件,云计算,云计算,传统技能
火山云,云计算,云计算,传统技能
火山引擎,云计算,云计算,传统技能
端云协同,云计算,云计算,传统技能
端侧部署,云计算,云计算,传统技能
腾讯云,云计算,云计算,传统技能
边缘AI,云计算,云计算,传统技能
边缘机房,云计算,云计算,传统技能
边缘硬件,云计算,云计算,传统技能
边缘网络,云计算,云计算,传统技能
边缘视觉,云计算,云计算,传统技能
边缘计算,云计算,云计算,传统技能
边缘部署,云计算,云计算,传统技能
迁云,云计算,云计算,传统技能
HMI开发,HMI开发,交互体验,传统技能
交互技术,交互技术,交互体验,传统技能
互动内容开发,交互技术,交互体验,传统技能
互动技术,交互技术,交互体验,传统技能
交互安全,交互技术,交互体验,传统技能
交互工效,交互技术,交互体验,传统技能
交互工程,交互技术,交互体验,传统技能
交互建模,交互技术,交互体验,传统技能
交互开发,交互技术,交互体验,传统技能
交互模式识别,交互技术,交互体验,传统技能
交互测试,交互技术,交互体验,传统技能
交互理解,交互技术,交互体验,传统技能
交互设计,交互技术,交互体验,传统技能
人因工程,人因工程,交互体验,传统技能
人因实验,人因工程,交互体验,传统技能
人机交互,人机交互,交互体验,传统技能
人手物体交互建模,人机交互,交互体验,传统技能
人机交互测试,人机交互,交互体验,传统技能
人机交互算法,人机交互,交互体验,传统技能
人机协作评测,人机交互,交互体验,传统技能
人机协同决策,人机交互,交互体验,传统技能
人机协同研发,人机交互,交互体验,传统技能
人机识别,人机交互,交互体验,传统技能
触控技术,触控技术,交互体验,传统技能
触控,触控技术,交互体验,传统技能
触控IC,触控技术,交互体验,传统技能
触控算法,触控技术,交互体验,传统技能
触控驱动,触控技术,交互体验,传统技能
触觉技术,触觉技术,交互体验,传统技能
触觉,触觉技术,交互体验,传统技能
触觉仿真,触觉技术,交互体验,传统技能
触觉传感器,触觉技术,交互体验,传统技能
触觉感知数据,触觉技术,交互体验,传统技能
触觉数据,触觉技术,交互体验,传统技能
触觉标定测试平台,触觉技术,交互体验,传统技能
AI安全,AI安全,安全,新兴技能
人工智能安全,AI安全,安全,新兴技能
多方安全计算,多方安全计算,安全,新兴技能
安全多方计算,多方安全计算,安全,新兴技能
信息安全,信息安全,安全,传统技能
主机安全,信息安全,安全,传统技能
代码分析,信息安全,安全,传统技能
代码安全,信息安全,安全,传统技能
代码审查,信息安全,安全,传统技能
代码管理,信息安全,安全,传统技能
内网安全,信息安全,安全,传统技能
凭证安全,信息安全,安全,传统技能
加密算法,信息安全,安全,传统技能
协议安全,信息安全,安全,传统技能
协议逆向,信息安全,安全,传统技能
反向代理,信息安全,安全,传统技能
反爬虫,信息安全,安全,传统技能
可信计算,信息安全,安全,传统技能
同态加密,信息安全,安全,传统技能
威胁建模,信息安全,安全,传统技能
威胁情报,信息安全,安全,传统技能
威胁检测,信息安全,安全,传统技能
安全分析,信息安全,安全,传统技能
安全加固,信息安全,安全,传统技能
密码学,信息安全,安全,传统技能
混淆,信息安全,安全,传统技能
溯源,信息安全,安全,传统技能
紫军,信息安全,安全,传统技能
脱困,信息安全,安全,传统技能
脱壳,信息安全,安全,传统技能
逃逸率,信息安全,安全,传统技能
逆向,信息安全,安全,传统技能
功能安全,功能安全,安全,传统技能
功能安全分析,功能安全,安全,传统技能
功能安全工具链,功能安全,安全,传统技能
功能安全机制,功能安全,安全,传统技能
功能安全架构,功能安全,安全,传统技能
功能安全测试,功能安全,安全,传统技能
功能安全程序设计,功能安全,安全,传统技能
功能安全需求分析,功能安全,安全,传统技能
预期功能安全,功能安全,安全,传统技能
数字取证,数字取证,安全,传统技能
硬盘取证,数字取证,安全,传统技能
设备安全,设备安全,安全,传统技能
设备伪造检测,设备安全,安全,传统技能
设备可信,设备安全,安全,传统技能
设备指纹,设备安全,安全,传统技能
设备风控,设备安全,安全,传统技能
设备风险,设备安全,安全,传统技能
设备风险模型,设备安全,安全,传统技能
设备风险策略,设备安全,安全,传统技能
设备风险识别,设备安全,安全,传统技能
身份认证,身份认证,安全,传统技能
凭证存取,身份认证,安全,传统技能
权威校验,身份认证,安全,传统技能
认证,身份认证,安全,传统技能
认证协议,身份认证,安全,传统技能
认证授权,身份认证,安全,传统技能
认证测试,身份认证,安全,传统技能
证件核验,身份认证,安全,传统技能
身份可信,身份认证,安全,传统技能
身份安全,身份认证,安全,传统技能
身份校验,身份认证,安全,传统技能
身份管理,身份认证,安全,传统技能
身份系统,身份认证,安全,传统技能
身份认证协议,身份认证,安全,传统技能
身份风险,身份认证,安全,传统技能
鉴权,身份认证,安全,传统技能
鉴权授权,身份认证,安全,传统技能
物联网,物联网,工业与物联网,新兴技能
物联网时序数据,物联网,工业与物联网,新兴技能
物联网终端,物联网,工业与物联网,新兴技能
物联网通信协议,物联网,工业与物联网,新兴技能
PLC编程,PLC编程,工业与物联网,传统技能
三菱PLC,PLC编程,工业与物联网,传统技能
欧姆龙PLC,PLC编程,工业与物联网,传统技能
西门子PLC,PLC编程,工业与物联网,传统技能
西门子S7-1200,PLC编程,工业与物联网,传统技能
西门子S7-1500,PLC编程,工业与物联网,传统技能
西门子TIA Portal,PLC编程,工业与物联网,传统技能
仓储自动化,仓储自动化,工业与物联网,传统技能
仓储仿真,仓储自动化,工业与物联网,传统技能
仓储物流自动化,仓储自动化,工业与物联网,传统技能
仓储调度系统,仓储自动化,工业与物联网,传统技能
工业自动化,工业自动化,工业与物联网,传统技能
工业AI,工业自动化,工业与物联网,传统技能
工业互联网,工业自动化,工业与物联网,传统技能
工业仿真,工业自动化,工业与物联网,传统技能
工业工程,工业自动化,工业与物联网,传统技能
工业机器人,工业自动化,工业与物联网,传统技能
工业机器人结构,工业自动化,工业与物联网,传统技能
工业物联网,工业自动化,工业与物联网,传统技能
工业相机,工业自动化,工业与物联网,传统技能
工业相机SDK,工业自动化,工业与物联网,传统技能
工业级基础大模型研发,工业自动化,工业与物联网,传统技能
工业级数据管线,工业自动化,工业与物联网,传统技能
工业自动化视觉,工业自动化,工业与物联网,传统技能
工业视觉检测,工业自动化,工业与物联网,传统技能
工业质检,工业自动化,工业与物联网,传统技能
工业通信协议,工业自动化,工业与物联网,传统技能
工业通讯协议,工业自动化,工业与物联网,传统技能
工控系统通讯,工业自动化,工业与物联网,传统技能
位姿估计,位姿估计,机器人与自动驾驶,新兴技能
位姿优化,位姿估计,机器人与自动驾驶,新兴技能
位姿变换,位姿估计,机器人与自动驾驶,新兴技能
位姿图优化,位姿图优化,机器人与自动驾驶,新兴技能
位姿图,位姿图优化,机器人与自动驾驶,新兴技能
多源信息融合SLAM,多源信息融合SLAM,机器人与自动驾驶,新兴技能
多目标跟踪,多目标跟踪,机器人与自动驾驶,新兴技能
多目标Re-ID,多目标跟踪,机器人与自动驾驶,新兴技能
惯性导航,惯性导航,机器人与自动驾驶,新兴技能
惯导,惯性导航,机器人与自动驾驶,新兴技能
捷联惯导,惯性导航,机器人与自动驾驶,新兴技能
机器人与自动驾驶,机器人与自动驾驶,机器人与自动驾驶,新兴技能
ADAS,ADAS,机器人与自动驾驶,新兴技能
AGV,AGV,机器人与自动驾驶,新兴技能
SLAM,SLAM,机器人与自动驾驶,新兴技能
伺服控制,机器人与自动驾驶,机器人与自动驾驶,新兴技能
具身智能,机器人与自动驾驶,机器人与自动驾驶,新兴技能
姿态控制,机器人与自动驾驶,机器人与自动驾驶,新兴技能
定位,机器人与自动驾驶,机器人与自动驾驶,新兴技能
定位算法,机器人与自动驾驶,机器人与自动驾驶,新兴技能
导航系统,机器人与自动驾驶,机器人与自动驾驶,新兴技能
手眼标定,机器人与自动驾驶,机器人与自动驾驶,新兴技能
控制中断,机器人与自动驾驶,机器人与自动驾驶,新兴技能
控制架构,机器人与自动驾驶,机器人与自动驾驶,新兴技能
控制流,机器人与自动驾驶,机器人与自动驾驶,新兴技能
控制算法,机器人与自动驾驶,机器人与自动驾驶,新兴技能
控制系统,机器人与自动驾驶,机器人与自动驾驶,新兴技能
控制论,机器人与自动驾驶,机器人与自动驾驶,新兴技能
控制逻辑,机器人与自动驾驶,机器人与自动驾驶,新兴技能
无人机,机器人与自动驾驶,机器人与自动驾驶,新兴技能
无人车,机器人与自动驾驶,机器人与自动驾驶,新兴技能
无人驾驶,机器人与自动驾驶,机器人与自动驾驶,新兴技能
机器人,机器人与自动驾驶,机器人与自动驾驶,新兴技能
环检测,机器人与自动驾驶,机器人与自动驾驶,新兴技能
规划,机器人与自动驾驶,机器人与自动驾驶,新兴技能
车联网,机器人与自动驾驶,机器人与自动驾驶,新兴技能
车道线,机器人与自动驾驶,机器人与自动驾驶,新兴技能
运动学,机器人与自动驾驶,机器人与自动驾驶,新兴技能
运控,机器人与自动驾驶,机器人与自动驾驶,新兴技能
端到端定位,端到端定位,机器人与自动驾驶,新兴技能
标定校准,标定校准,机器人与自动驾驶,传统技能
标定,标定校准,机器人与自动驾驶,传统技能
校准,标定校准,机器人与自动驾驶,传统技能
校准分析,标定校准,机器人与自动驾驶,传统技能
游戏与图形开发,游戏与图形开发,游戏与图形,传统技能
6DoF,游戏与图形开发,游戏与图形,传统技能
PCG,PCG,游戏与图形,传统技能
UE,UE,游戏与图形,传统技能
XR开发,游戏与图形开发,游戏与图形,传统技能
战斗决策,游戏与图形开发,游戏与图形,传统技能
战斗模块,游戏与图形开发,游戏与图形,传统技能
战斗系统,游戏与图形开发,游戏与图形,传统技能
战斗逻辑,游戏与图形开发,游戏与图形,传统技能
手游开发,游戏与图形开发,游戏与图形,传统技能
技术美术,游戏与图形开发,游戏与图形,传统技能
游戏AI,游戏与图形开发,游戏与图形,传统技能
游戏TA,游戏与图形开发,游戏与图形,传统技能
游戏中台,游戏与图形开发,游戏与图形,传统技能
游戏互动,游戏与图形开发,游戏与图形,传统技能
游戏优化,游戏与图形开发,游戏与图形,传统技能
游戏发布,游戏与图形开发,游戏与图形,传统技能
游戏同步,游戏与图形开发,游戏与图形,传统技能
游戏开发,游戏与图形开发,游戏与图形,传统技能
游戏循环,游戏与图形开发,游戏与图形,传统技能
游戏数学,游戏与图形开发,游戏与图形,传统技能
游戏玩法,游戏与图形开发,游戏与图形,传统技能
游戏研发,游戏与图形开发,游戏与图形,传统技能
游戏算法,游戏与图形开发,游戏与图形,传统技能
游戏调优,游戏与图形开发,游戏与图形,传统技能
游戏逆向,游戏与图形开发,游戏与图形,传统技能
玩法框架,游戏与图形开发,游戏与图形,传统技能
结构光,游戏与图形开发,游戏与图形,传统技能
多源异构知识处理,多源异构知识处理,知识图谱,新兴技能
知识图谱,知识图谱,知识图谱,新兴技能
关联分析,知识图谱,知识图谱,新兴技能
图优化,知识图谱,知识图谱,新兴技能
图分类,知识图谱,知识图谱,新兴技能
图回归,知识图谱,知识图谱,新兴技能
图存储,知识图谱,知识图谱,新兴技能
图学习,知识图谱,知识图谱,新兴技能
图嵌入,知识图谱,知识图谱,新兴技能
图数据安全分析,知识图谱,知识图谱,新兴技能
图数据库,知识图谱,知识图谱,新兴技能
图知识库,知识图谱,知识图谱,新兴技能
图神经网络,知识图谱,知识图谱,新兴技能
图算法,知识图谱,知识图谱,新兴技能
图编译,知识图谱,知识图谱,新兴技能
图论,知识图谱,知识图谱,新兴技能
拓扑,知识图谱,知识图谱,新兴技能
拓扑分析,知识图谱,知识图谱,新兴技能
本体工程,知识图谱,知识图谱,新兴技能
本体感知数据,知识图谱,知识图谱,新兴技能
本体自动构建,知识图谱,知识图谱,新兴技能
本体论,知识图谱,知识图谱,新兴技能
本体论建模,知识图谱,知识图谱,新兴技能
知识中台,知识图谱,知识图谱,新兴技能
知识库,知识图谱,知识图谱,新兴技能
知识模型,知识图谱,知识图谱,新兴技能
知识管理,知识图谱,知识图谱,新兴技能
知识驱动AGI,知识图谱,知识图谱,新兴技能
长期知识库,知识图谱,知识图谱,新兴技能
AI芯片,AI芯片,硬件与芯片,新兴技能
寒武纪,AI芯片,硬件与芯片,新兴技能
寒武纪平台,AI芯片,硬件与芯片,新兴技能
昆仑芯,AI芯片,硬件与芯片,新兴技能
Ascend,Ascend,硬件与芯片,新兴技能
昇腾,Ascend,硬件与芯片,新兴技能
昇腾AI计算平台,Ascend,硬件与芯片,新兴技能
昇腾CANN,Ascend,硬件与芯片,新兴技能
CUDA,CUDA,硬件与芯片,新兴技能
GPU内存优化,GPU内存优化,硬件与芯片,新兴技能
显存,GPU内存优化,硬件与芯片,新兴技能
显存优化,GPU内存优化,硬件与芯片,新兴技能
显存体系,GPU内存优化,硬件与芯片,新兴技能
显存分析,GPU内存优化,硬件与芯片,新兴技能
显存分页管理,GPU内存优化,硬件与芯片,新兴技能
显存加速,GPU内存优化,硬件与芯片,新兴技能
显存占用,GPU内存优化,硬件与芯片,新兴技能
显存层次结构,GPU内存优化,硬件与芯片,新兴技能
显存带宽优化,GPU内存优化,硬件与芯片,新兴技能
显存池化,GPU内存优化,硬件与芯片,新兴技能
显存测试,GPU内存优化,硬件与芯片,新兴技能
显存瓶颈优化,GPU内存优化,硬件与芯片,新兴技能
显存监控,GPU内存优化,硬件与芯片,新兴技能
显存管理,GPU内存优化,硬件与芯片,新兴技能
显存调度,GPU内存优化,硬件与芯片,新兴技能
光计算,光计算,硬件与芯片,新兴技能
协处理器,协处理器,硬件与芯片,新兴技能
异构计算,异构计算,硬件与芯片,新兴技能
异构加速,异构计算,硬件与芯片,新兴技能
异构加速硬件,异构计算,硬件与芯片,新兴技能
异构图像处理,异构计算,硬件与芯片,新兴技能
异构多核,异构计算,硬件与芯片,新兴技能
异构对象纳管,异构计算,硬件与芯片,新兴技能
异构平台,异构计算,硬件与芯片,新兴技能
异构并行编程,异构计算,硬件与芯片,新兴技能
异构推理,异构计算,硬件与芯片,新兴技能
异构服务器,异构计算,硬件与芯片,新兴技能
异构架构软件,异构计算,硬件与芯片,新兴技能
异构硬件,异构计算,硬件与芯片,新兴技能
异构硬件开发,异构计算,硬件与芯片,新兴技能
异构硬件调度,异构计算,硬件与芯片,新兴技能
异构管理,异构计算,硬件与芯片,新兴技能
异构系统架构,异构计算,硬件与芯片,新兴技能
异构系统测试,异构计算,硬件与芯片,新兴技能
异构系统软件,异构计算,硬件与芯片,新兴技能
异构编程,异构计算,硬件与芯片,新兴技能
异构编程模型,异构计算,硬件与芯片,新兴技能
异构网络中继,异构计算,硬件与芯片,新兴技能
异构计算优化,异构计算,硬件与芯片,新兴技能
异构计算加速,异构计算,硬件与芯片,新兴技能
异构计算平台,异构计算,硬件与芯片,新兴技能
异构计算架构,异构计算,硬件与芯片,新兴技能
异构计算系统,异构计算,硬件与芯片,新兴技能
异构资源调度,异构计算,硬件与芯片,新兴技能
异构集成,异构计算,硬件与芯片,新兴技能
稀疏计算,稀疏计算,硬件与芯片,新兴技能
稀疏Attention,稀疏计算,硬件与芯片,新兴技能
稀疏Embedding,稀疏计算,硬件与芯片,新兴技能
稀疏优化,稀疏计算,硬件与芯片,新兴技能
稀疏信号,稀疏计算,硬件与芯片,新兴技能
稀疏剪枝,稀疏计算,硬件与芯片,新兴技能
稀疏化,稀疏计算,硬件与芯片,新兴技能
稀疏卷积,稀疏计算,硬件与芯片,新兴技能
稀疏数据处理,稀疏计算,硬件与芯片,新兴技能
稀疏模型,稀疏计算,硬件与芯片,新兴技能
稀疏注意力,稀疏计算,硬件与芯片,新兴技能
稀疏算法,稀疏计算,硬件与芯片,新兴技能
算子开发,算子开发,硬件与芯片,新兴技能
高性能计算,高性能计算,硬件与芯片,新兴技能
多边形裁剪,高性能计算,硬件与芯片,新兴技能
粒子系统,高性能计算,硬件与芯片,新兴技能
计算下推,高性能计算,硬件与芯片,新兴技能
计算优化,高性能计算,硬件与芯片,新兴技能
计算图,高性能计算,硬件与芯片,新兴技能
计算图优化,高性能计算,硬件与芯片,新兴技能
计算库,高性能计算,硬件与芯片,新兴技能
计算引擎,高性能计算,硬件与芯片,新兴技能
计算机图形学,高性能计算,硬件与芯片,新兴技能
计算调度,高性能计算,硬件与芯片,新兴技能
超算,高性能计算,硬件与芯片,新兴技能
超算系统软件,高性能计算,硬件与芯片,新兴技能
超算网络,高性能计算,硬件与芯片,新兴技能
通算融合,高性能计算,硬件与芯片,新兴技能
高性能RPC,高性能计算,硬件与芯片,新兴技能
高性能基础组件,高性能计算,硬件与芯片,新兴技能
高性能库,高性能计算,硬件与芯片,新兴技能
高性能数据结构,高性能计算,硬件与芯片,新兴技能
高性能数据访问,高性能计算,硬件与芯片,新兴技能
高性能查询,高性能计算,硬件与芯片,新兴技能
高性能研发,高性能计算,硬件与芯片,新兴技能
高性能程序设计,高性能计算,硬件与芯片,新兴技能
高性能算法,高性能计算,硬件与芯片,新兴技能
高性能缓存,高性能计算,硬件与芯片,新兴技能
高性能编码,高性能计算,硬件与芯片,新兴技能
高性能网关,高性能计算,硬件与芯片,新兴技能
DSP开发,DSP开发,硬件与芯片,传统技能
ESL建模,ESL建模,硬件与芯片,传统技能
ISP算法,ISP算法,硬件与芯片,传统技能
PIE工艺整合,PIE工艺整合,硬件与芯片,传统技能
SIMD,SIMD,硬件与芯片,传统技能
信号处理,信号处理,硬件与芯片,传统技能
信号仿真,信号处理,硬件与芯片,传统技能
信号分析,信号处理,硬件与芯片,传统技能
信号去噪,信号处理,硬件与芯片,传统技能
信号发生器,信号处理,硬件与芯片,传统技能
信号源,信号处理,硬件与芯片,传统技能
信号调理,信号处理,硬件与芯片,传统技能
信号链,信号处理,硬件与芯片,传统技能
信号链路,信号处理,硬件与芯片,传统技能
小波变换,信号处理,硬件与芯片,传统技能
微多普勒,信号处理,硬件与芯片,传统技能
滤波,信号处理,硬件与芯片,传统技能
滤波器,信号处理,硬件与芯片,传统技能
滤波器设计,信号处理,硬件与芯片,传统技能
滤波器调参,信号处理,硬件与芯片,传统技能
滤波算法,信号处理,硬件与芯片,传统技能
相位对焦,信号处理,硬件与芯片,传统技能
相位解缠,信号处理,硬件与芯片,传统技能
相噪仪,信号处理,硬件与芯片,传统技能
矢量模型,信号处理,硬件与芯片,传统技能
粒子滤波,信号处理,硬件与芯片,传统技能
